https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1648339200000,2022-03-27 00:00:00,AAVE/USDT,163.40000000,169.40000000,158.60000000,169.20000000,104845.81800000,17149257.32430000,80968
1648252800000,2022-03-26 00:00:00,AAVE/USDT,162.50000000,166.90000000,160.80000000,163.40000000,79044.56600000,12950813.41430000,40900
1648166400000,2022-03-25 00:00:00,AAVE/USDT,168.10000000,174.40000000,159.50000000,162.40000000,227607.76800000,38127641.13590000,146589
1648080000000,2022-03-24 00:00:00,AAVE/USDT,156.00000000,172.80000000,153.40000000,168.10000000,298012.10700000,48804535.92130000,195084
1647993600000,2022-03-23 00:00:00,AAVE/USDT,152.90000000,157.30000000,149.70000000,156.00000000,110917.83400000,16985085.11220000,76954
1647907200000,2022-03-22 00:00:00,AAVE/USDT,153.90000000,162.00000000,151.60000000,152.90000000,135898.69300000,21336958.32840000,85111
1647820800000,2022-03-21 00:00:00,AAVE/USDT,152.70000000,162.70000000,146.80000000,153.90000000,197380.32500000,30644399.51130000,126565
1647734400000,2022-03-20 00:00:00,AAVE/USDT,157.20000000,159.20000000,146.30000000,152.60000000,176293.52900000,27062605.45840000,105147
1647648000000,2022-03-19 00:00:00,AAVE/USDT,160.20000000,165.60000000,154.80000000,157.20000000,180754.50600000,29066184.42510000,104757
1647561600000,2022-03-18 00:00:00,AAVE/USDT,155.60000000,164.30000000,147.30000000,160.10000000,349565.04800000,54365539.80340000,203333
1647475200000,2022-03-17 00:00:00,AAVE/USDT,141.70000000,156.90000000,136.80000000,155.60000000,366515.49100000,53459449.88050000,184654
1647388800000,2022-03-16 00:00:00,AAVE/USDT,122.00000000,142.10000000,121.00000000,141.70000000,335373.48100000,44302858.09250000,172984
1647302400000,2022-03-15 00:00:00,AAVE/USDT,118.30000000,123.00000000,113.90000000,122.10000000,70362.78100000,8345179.39650000,44003
1647216000000,2022-03-14 00:00:00,AAVE/USDT,115.60000000,121.40000000,113.40000000,118.40000000,100571.56100000,11809184.42880000,48587
1647129600000,2022-03-13 00:00:00,AAVE/USDT,120.40000000,120.80000000,115.00000000,115.70000000,87243.07000000,10307492.66360000,38151
1647043200000,2022-03-12 00:00:00,AAVE/USDT,116.70000000,121.60000000,116.40000000,120.40000000,64492.58500000,7731743.02920000,31782
1646956800000,2022-03-11 00:00:00,AAVE/USDT,119.20000000,121.10000000,114.60000000,116.60000000,82915.90300000,9752620.19120000,40668
1646870400000,2022-03-10 00:00:00,AAVE/USDT,127.50000000,128.40000000,116.30000000,119.20000000,103241.49500000,12464251.96170000,46816
1646784000000,2022-03-09 00:00:00,AAVE/USDT,121.70000000,130.50000000,121.30000000,127.60000000,101881.95700000,12993190.15190000,53336
1646697600000,2022-03-08 00:00:00,AAVE/USDT,116.80000000,125.40000000,115.70000000,121.60000000,195411.94600000,23675318.61200000,69112
1646611200000,2022-03-07 00:00:00,AAVE/USDT,116.70000000,124.10000000,113.30000000,116.80000000,189282.73800000,22246484.20380000,79243
1646524800000,2022-03-06 00:00:00,AAVE/USDT,124.60000000,125.70000000,116.30000000,116.70000000,123221.74600000,14826953.96910000,63628
1646438400000,2022-03-05 00:00:00,AAVE/USDT,124.30000000,126.50000000,121.90000000,124.60000000,90706.43900000,11277710.67410000,56713
1646352000000,2022-03-04 00:00:00,AAVE/USDT,129.90000000,132.00000000,122.00000000,124.20000000,214193.24800000,27314640.89180000,94723
1646265600000,2022-03-03 00:00:00,AAVE/USDT,137.70000000,137.80000000,126.30000000,130.00000000,204432.53500000,27029992.93420000,98207
1646179200000,2022-03-02 00:00:00,AAVE/USDT,143.20000000,146.30000000,136.10000000,137.70000000,242506.59200000,34167524.50290000,115380
1646092800000,2022-03-01 00:00:00,AAVE/USDT,145.80000000,150.90000000,139.50000000,143.30000000,236428.12500000,34115890.27140000,119132
1646006400000,2022-02-28 00:00:00,AAVE/USDT,131.60000000,147.20000000,128.00000000,145.80000000,221466.15600000,30304521.58710000,88841
1645920000000,2022-02-27 00:00:00,AAVE/USDT,136.70000000,144.70000000,129.40000000,131.60000000,248248.89600000,33880515.43680000,103768
1645833600000,2022-02-26 00:00:00,AAVE/USDT,139.50000000,144.80000000,134.90000000,136.60000000,103099.32800000,14356118.52860000,58314
1645747200000,2022-02-25 00:00:00,AAVE/USDT,125.40000000,143.00000000,121.80000000,139.50000000,214469.70200000,28697633.76970000,97874
1645660800000,2022-02-24 00:00:00,AAVE/USDT,130.60000000,131.80000000,112.40000000,125.40000000,285671.86470000,34451414.56302300,124775
1645574400000,2022-02-23 00:00:00,AAVE/USDT,134.70000000,143.10000000,130.10000000,130.60000000,94147.90000000,12910160.11740000,55646
1645488000000,2022-02-22 00:00:00,AAVE/USDT,128.60000000,137.00000000,125.80000000,134.70000000,94375.61300000,12416421.38660000,51256
1645401600000,2022-02-21 00:00:00,AAVE/USDT,137.50000000,144.70000000,127.80000000,128.60000000,128162.90800000,17566007.53580000,74462
1645315200000,2022-02-20 00:00:00,AAVE/USDT,146.20000000,146.30000000,135.10000000,137.60000000,57594.73300000,7987577.67630000,42973
1645228800000,2022-02-19 00:00:00,AAVE/USDT,145.50000000,148.80000000,140.80000000,146.20000000,44043.63300000,6403890.21890000,32519
1645142400000,2022-02-18 00:00:00,AAVE/USDT,153.10000000,155.50000000,143.90000000,145.50000000,136887.68000000,20589447.33080000,78744
1645056000000,2022-02-17 00:00:00,AAVE/USDT,170.40000000,174.10000000,150.40000000,153.00000000,112872.32200000,18122242.55110000,79434
1644969600000,2022-02-16 00:00:00,AAVE/USDT,172.30000000,174.50000000,162.90000000,170.50000000,71443.65900000,12080621.56530000,67336
1644883200000,2022-02-15 00:00:00,AAVE/USDT,161.00000000,172.90000000,160.50000000,172.20000000,64268.81700000,10659733.59750000,58595
1644796800000,2022-02-14 00:00:00,AAVE/USDT,158.10000000,161.40000000,152.80000000,161.00000000,50377.87400000,7906740.95990000,50032
1644710400000,2022-02-13 00:00:00,AAVE/USDT,162.50000000,165.40000000,155.80000000,158.10000000,39191.01800000,6308250.85160000,38704
1644624000000,2022-02-12 00:00:00,AAVE/USDT,163.70000000,168.70000000,159.80000000,162.40000000,60007.50000000,9841696.97910000,53984
1644537600000,2022-02-11 00:00:00,AAVE/USDT,175.30000000,181.20000000,160.20000000,163.60000000,83810.02000000,14474828.12360000,77060
1644451200000,2022-02-10 00:00:00,AAVE/USDT,188.00000000,188.90000000,174.70000000,175.40000000,108341.64100000,19708972.46740000,107778
1644364800000,2022-02-09 00:00:00,AAVE/USDT,184.10000000,190.70000000,176.30000000,188.00000000,89960.44100000,16561965.08730000,75405
1644278400000,2022-02-08 00:00:00,AAVE/USDT,182.30000000,192.70000000,173.50000000,183.90000000,154091.74600000,28160750.50020000,163112
1644192000000,2022-02-07 00:00:00,AAVE/USDT,173.60000000,184.20000000,169.80000000,182.10000000,119127.01000000,21300968.96530000,158198
1644105600000,2022-02-06 00:00:00,AAVE/USDT,166.20000000,174.50000000,165.30000000,173.50000000,91113.37400000,15450900.89510000,121641
1644019200000,2022-02-05 00:00:00,AAVE/USDT,166.80000000,173.50000000,164.10000000,166.20000000,100784.20700000,17005676.81000000,104656
1643932800000,2022-02-04 00:00:00,AAVE/USDT,153.00000000,167.10000000,151.30000000,166.80000000,118649.12900000,18951322.26370000,94565
1643846400000,2022-02-03 00:00:00,AAVE/USDT,151.20000000,153.80000000,145.30000000,153.00000000,76172.29400000,11367729.38190000,56609
1643760000000,2022-02-02 00:00:00,AAVE/USDT,163.80000000,164.40000000,149.30000000,151.20000000,94165.14100000,14785104.95390000,70613
1643673600000,2022-02-01 00:00:00,AAVE/USDT,157.50000000,168.30000000,157.30000000,163.70000000,111357.63600000,18219682.84240000,94891
1643587200000,2022-01-31 00:00:00,AAVE/USDT,149.00000000,158.70000000,141.60000000,157.50000000,90536.94300000,13699976.38670000,69552
1643500800000,2022-01-30 00:00:00,AAVE/USDT,154.00000000,155.40000000,145.90000000,148.90000000,61333.87500000,9295113.27590000,46112
1643414400000,2022-01-29 00:00:00,AAVE/USDT,149.00000000,157.00000000,147.70000000,154.00000000,68369.12400000,10451101.55380000,56386
1643328000000,2022-01-28 00:00:00,AAVE/USDT,144.60000000,150.70000000,139.30000000,149.00000000,129453.70300000,18743246.21440000,81180
1643241600000,2022-01-27 00:00:00,AAVE/USDT,146.40000000,151.40000000,137.40000000,144.50000000,124221.86400000,17913288.91410000,81039
1643155200000,2022-01-26 00:00:00,AAVE/USDT,151.80000000,164.00000000,142.60000000,146.50000000,197539.94700000,30511480.97160000,131280
1643068800000,2022-01-25 00:00:00,AAVE/USDT,152.40000000,156.30000000,145.80000000,151.80000000,137214.35800000,20695724.66750000,82952
1642982400000,2022-01-24 00:00:00,AAVE/USDT,158.50000000,158.60000000,131.10000000,152.50000000,250523.71160000,35676919.06630000,136867
1642896000000,2022-01-23 00:00:00,AAVE/USDT,147.10000000,163.30000000,145.40000000,158.40000000,171630.42600000,26310785.18190000,99775
